id,nct_id,responsible_party_type,name,title,organization,affiliation
867652,NCT01980537,Principal Investigator,Univ. Prof. Dr. Thomas Neunteufl,Univ. Prof. Dr.,,Medical University of Vienna
771455,NCT03234829,Principal Investigator,Mohammed Atef,"oral and dental medicine, principle investigator",,Cairo University
926270,NCT00208299,,"Philip Sager, Vice President, Clinical Research",,Gilead Sciences,
969721,NCT00908674,,Medical Director,,Bayer Hungária Kft.,
888360,NCT01710007,Sponsor,,,,
953783,NCT00689702,,"Vaneja Velenik, PhD, MD,",,"Institute of Oncology Ljubljana, Slovenia",
858509,NCT02099968,Principal Investigator,Gustav Dobos,Head of Department,,Universität Duisburg-Essen
958490,NCT00753142,Principal Investigator,Guillermo Umpierrez,Professor,,Emory University
1147272,NCT00264602,Principal Investigator,"Yolonda L. Colson, MD, PhD",Principal Investigator,,Dana-Farber Cancer Institute
1025315,NCT00379600,Sponsor,,,,
905114,NCT01489163,Sponsor,,,,
958597,NCT00754871,Sponsor,,,,
812951,NCT02694315,Principal Investigator,Amr Ahmed Mahmoud Riad,Lecturer of obstetrics and gynecology,,Ain Shams Maternity Hospital
936505,NCT00414427,,"Kenneth Kalunian, M.D., Professor of Medicine",,UCSD,
843818,NCT02291614,Sponsor,,,,
964022,NCT00828802,Sponsor,,,,
935527,NCT00395889,,Daniel Langer,,KU Leuven,
777797,NCT03152214,Sponsor,,,,
987261,NCT01143688,Principal Investigator,"Michael Wechsler, MD","Michael Wechsler, MD",,Brigham and Women's Hospital
857203,NCT02117024,Sponsor,,,,
913719,NCT01375569,Principal Investigator,"Tim Greten, M.D.",Principal Investigator,,National Institutes of Health Clinical Center (CC)
936323,NCT00417157,Sponsor,,,,
962699,NCT00807092,Sponsor,,,,
940731,NCT00497978,Principal Investigator,Alexander P.J. Houdijk,"MD, PhD, surgeon",,Medical Center Alkmaar
778109,NCT03148145,Principal Investigator,Anil Aswani,Assistant Professor,,"University of California, Berkeley"
768729,NCT03270267,Sponsor,,,,
966799,NCT00867672,Principal Investigator,Michael Luebbert,Professor,,University Hospital Freiburg
957620,NCT00741897,,Medical Affairs Study Director,,sanofi-aventis,
1141025,NCT02986178,Sponsor,,,,
958821,NCT00757419,,"Debra G. Silberg, MD, PhD, Medical Science Director, AZD3355",,AstraZeneca Pharmaceuticals,
935323,NCT00392275,Sponsor,,,,
1098883,NCT02710500,Principal Investigator,Jerry R. Mendell,"Director, Center for Gene Therapy",,Nationwide Children's Hospital
967530,NCT00878319,Principal Investigator,greg.berry,MDCM FRCSC,,McGill University Health Center
971759,NCT00936975,Sponsor,,,,
783364,NCT03079752,Sponsor,,,,
1112370,NCT02664155,Sponsor,,,,
858761,NCT02096679,Sponsor,,,,
960549,NCT00782769,Sponsor,,,,
938421,NCT00457678,Sponsor,,,,
813924,NCT02681627,Sponsor,,,,
844284,NCT02285530,Principal Investigator,Lai-ping Zhong,"associate professor,PHD,DDS,MD",,Shanghai Jiao Tong University School of Medicine
771420,NCT03235258,Sponsor,,,,
1163370,NCT02718417,Sponsor,,,,
991063,NCT01196611,Principal Investigator,Leticia Caldas Teixeira,Professor/PhD,,Federal University of São Paulo
969296,NCT00894933,Sponsor,,,,
967425,NCT00877032,Sponsor,,,,
939631,NCT00478192,Sponsor,,,,
809127,NCT02744144,Principal Investigator,Jonas Malmstedt,co-pi,,Karolinska Institutet
953359,NCT00685243,,"David Kouba, MD, PhD",,"Department of Dermatology, Henry Ford Health Sys",
772684,NCT03218774,Sponsor,,,,
865360,NCT02010489,Sponsor,,,,
853071,NCT02170961,Principal Investigator,Nouira,Professor,,University of Monastir
882445,NCT01787253,Principal Investigator,Robert Brummer,Dean,,"Örebro University, Sweden"
1170330,NCT02769481,Sponsor,,,,
819073,NCT02614443,Sponsor-Investigator,Derek Richards,Director of Clinical Research and Innovation,,Silver Cloud Health
767766,NCT03282825,Sponsor,,,,
805950,NCT02785549,Principal Investigator,Neus Ruiz-Edo,MD,,Corporacion Parc Tauli
1109349,NCT03356158,Sponsor,,,,
965458,NCT00850135,Principal Investigator,Yasser Yehia El-Sayed,Professor of Obstetrics and Gynecology,,Stanford University
803047,NCT02823457,Principal Investigator,Mary Jane Burton,Staff Physician,,G.V. (Sonny) Montgomery VA Medical Center
1042112,NCT02289898,Sponsor,,,,
834533,NCT02412748,Principal Investigator,Wrenetha Julion,Professor,,Rush University Medical Center
948420,NCT00617474,,Dr.Poorrezagholi,,Shaheed Beheshti Medical University,
803834,NCT02813148,Sponsor,,,,
971682,NCT00935948,,Paulo Dornelles Picon,,Hospital de Clínicas de Porto Alegre,
841762,NCT02318407,Sponsor,,,,
882221,NCT01790256,Sponsor,,,,
905275,NCT01487070,Sponsor,,,,
854178,NCT02156505,Principal Investigator,Chan Gyoo Kim,Senior scientist,,"National Cancer Center, Korea"
1099152,NCT01722461,Sponsor,,,,
846177,NCT02260895,Principal Investigator,Michael A. Crouch,"Research Director, Memorial Family Medicine Residency Program",,Memorial Hermann Health System
987228,NCT01143220,Sponsor,,,,
832606,NCT02437851,Sponsor,,,,
899795,NCT01559259,Sponsor,,,,
969735,NCT00908869,Sponsor,,,,
820440,NCT02596516,Principal Investigator,Ilan Kent,Medical Doctor,,Meir Medical Center
833865,NCT02421458,Sponsor,,,,
890181,NCT01686217,Sponsor,,,,
946624,NCT00593788,,"Samelli, Alessandra Giannella",,University of Sao Paulo,
888896,NCT01703026,Sponsor,,,,
985171,NCT01121029,Sponsor-Investigator,Dra. Olga Graciela Cantu Rodriguez,Autologous Hematopoietic Stem Cell Transplantation in Type 1 Diabetes Mellitus,,Hospital Universitario Dr. Jose E. Gonzalez
816214,NCT02651701,Principal Investigator,Jeong Hee Yoon,MD,,Seoul National University Hospital
1062129,NCT02716662,Principal Investigator,Dr. Dale J. Lange,MD,,Weill Medical College of Cornell University
1095927,NCT02056938,Sponsor,,,,
849485,NCT02217904,Sponsor,,,,
945437,NCT00576446,Principal Investigator,John Yu,"Neurosurgeon, Neurosurgical Institute",,Cedars-Sinai Medical Center
909787,NCT01427439,Sponsor,,,,
866641,NCT01993745,Sponsor,,,,
825267,NCT02533570,Sponsor,,,,
883721,NCT01770613,Sponsor,,,,
921376,NCT00092157,Sponsor,,,,
1117468,NCT02589535,Principal Investigator,Cotoia Antonella,"Aggregate Professor, PhD",,University of Foggia
942723,NCT00531271,,"Tess Ferrer, BSN",,"Abraxis BioScience, LLC",
863688,NCT02032316,Sponsor,,,,
826643,NCT02515617,Sponsor,,,,
840815,NCT02330783,Principal Investigator,Jun Guo,Director of department of renal cancer and melanoma,,Beijing Cancer Hospital
993602,NCT01229306,,Deutsches Herzzentrum München,,Abteilung Elektrophysiologie,
885997,NCT01740947,Sponsor-Investigator,"H. Jaap Bonjer, PhD",Professor of Surgery,,VU University Medical Center
937503,NCT00440440,,sandeep dhindsa,,Department of Endocrinology and Metabolism,
922772,NCT00120497,,"Lynne L. Levitsky, M.D.",,Massachusetts General Hospital,
883242,NCT01776853,Sponsor,,,,
837777,NCT02370472,Principal Investigator,Sanjib Adhikary,"Associate Professor , Director Acute Pain, Regional Anesthesia/Orthopedics",,Milton S. Hershey Medical Center
788372,NCT03014583,Sponsor,,,,
1146468,NCT02732288,Principal Investigator,Nicholas Schiff,Principal Investigator,,Rockefeller University
980194,NCT01050205,Principal Investigator,Andrea Kriska,PhD,,University of Pittsburgh
788856,NCT03008317,Principal Investigator,Hager essam el azizi,Dr,,Cairo University
860072,NCT02079545,Sponsor,,,,
855778,NCT02135653,Sponsor,,,,
872121,NCT01922193,Sponsor,,,,
812163,NCT02704611,Sponsor-Investigator,Dina Hatem Elhammady,Clinical Professor,,Assiut University
873059,NCT01909934,Sponsor,,,,
932058,NCT00328471,,Dr. Kyle Allen,,Summa Health system,
798539,NCT02882165,Sponsor,,,,
987092,NCT01135550,Principal Investigator,Ute Bartels,Staff Physician,,The Hospital for Sick Children
1080718,NCT03224884,Principal Investigator,Julian Aliste,Clinical Instructor,,University of Chile
895121,NCT01620554,Sponsor,,,,
797503,NCT02895646,Sponsor,,,,
856170,NCT02130505,Principal Investigator,M.A. de Vries,MD,,Sint Franciscus Gasthuis
962996,NCT00798200,Principal Investigator,Oren Cheifetz,Clinical Specialist - Physiotherapy,,Hamilton Health Sciences Corporation
773736,NCT03205059,Principal Investigator,Christopher Williams,Senior Vice President,,"National Health Promotion Associates, Inc."
791061,NCT02979600,Sponsor,,,,
1130926,NCT03192163,Principal Investigator,Roopal Kundu,Principal Investigator,,Northwestern University
894897,NCT01623531,Principal Investigator,"Myron Kwapisz, MD",MD,,Nova Scotia Health Authority
864758,NCT02018367,Sponsor,,,,
940864,NCT00492908,,Department of Cardiology,,Bern University Hospital,
1098632,NCT03233048,Sponsor-Investigator,Imad Absah,Assistant Professor of Pediatrics,,Mayo Clinic
1126994,NCT03370029,Principal Investigator,Meral Boşnak Güçlü,Associate professor,,Gazi University
888086,NCT01713621,Sponsor,,,,
862504,NCT02047760,Sponsor,,,,
846469,NCT02257060,Sponsor,,,,
900334,NCT01552135,Sponsor,,,,
793238,NCT02951234,Sponsor,,,,
861742,NCT02057731,Sponsor,,,,
881971,NCT01793467,Sponsor,,,,
804101,NCT02809768,Sponsor,,,,
868328,NCT01971723,Sponsor,,,,
995946,NCT01261221,Sponsor,,,,
983507,NCT01096277,,"Sajoscha A. Sorrentino, MD",,Hannover Medical School,
976270,NCT00998387,,Sang Min Lee M.D,,Seoul National University Hospital,
905519,NCT01483885,Principal Investigator,Fuad Ahmad Hazime,Assistant Professor at School of Physiotherapy,,Universidade Federal do Piauí
787669,NCT03023735,Principal Investigator,VJ Periyakoil,Clinical Associate Professor,,Stanford University
809810,NCT02735265,Sponsor,,,,
1135280,NCT02696902,Sponsor,,,,
882440,NCT01787318,Sponsor,,,,
952856,NCT00676234,,Dr P. Saudan,,Nephrology Unit,
894625,NCT01627080,Sponsor,,,,
926867,NCT00221663,,Jean Pierre LEROY,,"University Hospital, Bordeaux",
982249,NCT01071031,,"Dr. Stuart Robinson, Head of Business Development",,PepTcell Limited,
826910,NCT02512107,Sponsor,,,,
1021102,NCT02050373,Principal Investigator,Geisa Badauy Lauria Silva,Principal investigator,,Universidade Federal de Goias
881210,NCT01803412,Sponsor,,,,
844215,NCT02286427,Sponsor,,,,
921141,NCT00087607,Sponsor,,,,
1074639,NCT01839656,Sponsor,,,,
907477,NCT01458106,Sponsor,,,,
790539,NCT02986386,Principal Investigator,Pablo Galindo-Moreno,Professor,,Universidad de Granada
904493,NCT01497392,Sponsor,,,,
872455,NCT01917851,Sponsor,,,,
1074239,NCT02174640,Sponsor,,,,
826853,NCT02512848,Sponsor,,,,
805365,NCT02793167,Sponsor-Investigator,XinLing Liang,Director of Blood Purification Center of Guangdong General Hospital,,Guangdong General Hospital
987719,NCT01150448,Sponsor,,,,
981574,NCT01069627,,Disclosures Group,,Hoffmann-La Roche,
774227,NCT03198663,Principal Investigator,SHosek,Clinical Psychologist,,John H. Stroger Hospital
826609,NCT02516072,Sponsor,,,,
785283,NCT03054792,Principal Investigator,Andrea Doria,"Radiologist, Scientist, Research Director",,The Hospital for Sick Children
945084,NCT00572689,Principal Investigator,Jason Umans,Prinipal Investigator,,Georgetown University
925491,NCT00194207,,"Kurt T Barnhart, MD, MSCE",,University of Pennsylvani,
1000152,NCT01316185,Sponsor,,,,
933611,NCT00372905,Sponsor,,,,
962051,NCT00795535,Principal Investigator,Kenneth Proctor,Professor,,University of Miami
933657,NCT00373646,,Medical University of Vienna,,Dept of Internal Medicine I,
821439,NCT02583503,Sponsor,,,,
961318,NCT00794144,,"Cynthia M. Rusk\Manager, Development",,Alcon Research,
987456,NCT01146392,Sponsor,,,,
800464,NCT02857101,Sponsor,,,,
962096,NCT00796172,Principal Investigator,James G. Christian,President,,PHCC LP
892251,NCT01658852,Principal Investigator,Myung-gui Choi,prof.,,The Catholic University of Korea
916072,NCT00000835,Sponsor,,,,
1087626,NCT03344601,Sponsor,,,,
871856,NCT01925664,Sponsor,,,,
992470,NCT01214447,,Ilia Beberashvili MD,,"Nephrology Division, Assaf Harofeh Medical Center",
816198,NCT02651909,Sponsor-Investigator,Matthew Neal MD,"Matthew D. Neal, MD",,University of Pittsburgh
878631,NCT01837134,Principal Investigator,Stephan Martin,Director of the West German Center of Diabetes and Health,,West German Center of Diabetes and Health
937667,NCT00430352,Sponsor,,,,
820063,NCT02601417,Principal Investigator,Sang Hyub Lee,Associate Professor,,Seoul National University Hospital
864849,NCT02017184,Principal Investigator,Dr. Barliz Adato,head investigator of Heller institute of physiology,,Sheba Medical Center
876828,NCT01860703,Sponsor,,,,
1135829,NCT01128816,Principal Investigator,Douglas Bradley,Study Chairman,,Toronto Rehabilitation Institute
968645,NCT00892164,,"Department of Endocrine Surgery, 1st Department of Propaedeutic Surgery, Hippocration General Hospital of Athens",,"Department of Endocrine Surgery, 1st Department of Propaedeutic Surgery, Hippocration General Hospital of Athens, Athens Medical School, University of Athens",
942691,NCT00530790,Sponsor,,,,
787119,NCT03030924,Principal Investigator,Dr. David Sheridan,Assistant Professor of Emergency Medicine/Pediatrics,,Oregon Health and Science University
847988,NCT02237248,Sponsor,,,,
794598,NCT02933515,Principal Investigator,Arlene Schmid,Associate Professor,,Colorado State University
969031,NCT00898664,Principal Investigator,"Barbara Murphy, MD","Professor of Medicine, Medical Oncologist",,Vanderbilt-Ingram Cancer Center
826522,NCT02517216,Sponsor,,,,
878412,NCT01840007,Sponsor,,,,
801000,NCT02850133,Sponsor,,,,
967757,NCT00873808,Sponsor,,,,
826813,NCT02513368,Principal Investigator,nicola baldini,oral surgeon,,"University of Firenze and Siena, Napoli, Italy"
869019,NCT01962675,Principal Investigator,Edelle Field-Fote,Professor,,University of Miami
798536,NCT02882204,Principal Investigator,"Lena Palaniyappan, MD","Associate Professor, Schulich School of Medicine and Dentistry",,Lawson Health Research Institute
1098386,NCT03352505,Principal Investigator,"Prof. Josef Niebauer M.D., Ph.D., MBA","Prof. Josef Niebauer, M.D., Ph.D, MBA",,Paracelsus Medical University
886125,NCT01739283,Sponsor-Investigator,Mikkel Christensen,principal investigator,,"University Hospital, Gentofte, Copenhagen"
818617,NCT02620397,Sponsor,,,,
938087,NCT00454142,Sponsor,,,,
823432,NCT02557529,Principal Investigator,Julie Gehl,"M.D., Dr. Med. Sci.",,Herlev Hospital
801113,NCT02847572,Sponsor,,,,
769768,NCT03256747,Sponsor,,,,
990584,NCT01182142,,Lev Demidov,,N.N. Blokhin Russian Cancer Research Center,
804494,NCT02804529,Principal Investigator,Fanqiang Meng,MD. PhD.,,China-Japan Friendship Hospital
779440,NCT03130829,Sponsor,,,,
1087750,NCT03340987,Principal Investigator,Walaa Shaaban,B.Sc. in Oral and Dental Medicine,,Cairo University
943634,NCT00539383,,"Jean-Paul Castaigne, MD - President & CEO",,Angiochem Inc.,
800221,NCT02860273,Sponsor,,,,
1020310,NCT02359344,Sponsor,,,,
950893,NCT00650325,,"Will Sullvan, Global Head of Product Risk and Safety Management",,Mylan Inc.,
894316,NCT01631110,Sponsor,,,,
771369,NCT03235921,Principal Investigator,medhat sayed ali,"Resident at Anaesthesia, ICU and pain management department,Assiut University",,Assiut University
825661,NCT02528422,Sponsor-Investigator,Erling Bjerregaard Pedersen,"Professor, MD, Dr.Sci.",,Regional Hospital Holstebro
886174,NCT01738646,Sponsor,,,,
831675,NCT02449993,Sponsor,,,,
783958,NCT03072017,Principal Investigator,Nalaka Gooneratne,Associate Professor,,University of Pennsylvania
959233,NCT00757133,Sponsor,,,,
851595,NCT02190214,Principal Investigator,Dr Mohamnmad Arif Shahar,Assist Prof,,International Islamic University Malaysia
960085,NCT00774397,Sponsor,,,,
833646,NCT02424305,Sponsor,,,,
815922,NCT02655523,Principal Investigator,Antoun Nader,Professor of Anesthesiology,,Northwestern University
854128,NCT02157155,Sponsor,,,,
799471,NCT02870036,Sponsor,,,,
967019,NCT00863915,,"Meena Venugopal, Director, Clinical R&D",,Actavis Inc,
998850,NCT01301430,Sponsor,,,,
771718,NCT03231358,Principal Investigator,Caroline Kuo,Assistant Professor,,Brown University
887077,NCT01726816,Sponsor,,,,
942011,NCT00519480,Sponsor,,,,
909218,NCT01434940,Sponsor,,,,
797461,NCT02896192,Sponsor,,,,
890665,NCT01679899,Sponsor,,,,
971931,NCT00931216,Principal Investigator,Craig Cohen,Professor,,"University of California, San Francisco"
802058,NCT02836340,Principal Investigator,Prof. Dr. Marcus J. Schultz,Professor,,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)
817150,NCT02639663,Sponsor,,,,
953764,NCT00689442,,"Shoji Hoshino, DVM, Vice President, Clinical Development",,Akros Pharma Inc.,
1074219,NCT02191930,Principal Investigator,Prof. Dr. Peter Borchmann,Prof.,,University of Cologne
987068,NCT01135238,,"Melanie L. Richards, M.D., Associate Professor of Surgery",,Mayo Clinic,
967646,NCT00883402,Sponsor,,,,
871020,NCT01936675,Principal Investigator,Iftikhar J. Kullo,"Professor of Medicine, Division of Cardiovascular Diseases, Department of Internal Medicine",,Mayo Clinic
776036,NCT03175133,Sponsor,,,,
799480,NCT02869919,Sponsor,,,,
1117714,NCT02354118,Principal Investigator,Rachel Baker,Nurse Researcher,,TriHealth Inc.
1135761,NCT01556100,Sponsor,,,,
774684,NCT03192722,Principal Investigator,"Ava Bittner, OD, PhD",Associate Professor,,Nova Southeastern University
793579,NCT02946801,Principal Investigator,Inmaculada Tomas,Senior Lecturer,,University of Santiago de Compostela
827032,NCT02510521,Sponsor,,,,
1166600,NCT02514447,Sponsor,,,,
1106813,NCT00033774,Sponsor,,,,
910301,NCT01420666,Sponsor,,,,
814575,NCT02673125,Sponsor,,,,
945433,NCT00576394,Principal Investigator,Harold L. Lazar MD,Professor of Cardiothoracic Surgery,,American Heart Association
832535,NCT02438774,Principal Investigator,Analice A. Kamala,Senior Food Risk Assessment officer,,Tanzania Food and Drugs Authority
1156562,NCT03153956,Sponsor,,,,
883096,NCT01778764,Sponsor,,,,
857143,NCT02117817,Sponsor,,,,
875877,NCT01873131,Principal Investigator,"Richard Rox Anderson, MD","Director, Wellman Center for Photomedicine",,Massachusetts General Hospital
964992,NCT00830908,Sponsor,,,,
833495,NCT02426268,Principal Investigator,Kimberly Howard-quijano,HS Assistant Clinical Professor,,"University of California, Los Angeles"
870119,NCT01948323,Principal Investigator,Prof. Karen Sliwa,Professor,,University of Cape Town
886033,NCT01740479,Principal Investigator,Dr. Shamir Mehta,Principal Investigator,,Population Health Research Institute
1023725,NCT01057602,,"Mitchell Clionsky, Ph.D.",,"Clionsky Neuro Systems, LLC",
886756,NCT01731015,Sponsor-Investigator,Hal C Charles,Associate Professor Department of Radiology,,Duke University Medical Center
1094731,NCT03225690,Principal Investigator,ebru biricik,Dr,,Cukurova University
877604,NCT01850563,Sponsor,,,,
887002,NCT01727817,Sponsor,,,,
783949,NCT03072134,Sponsor,,,,
827988,NCT02498067,Sponsor,,,,
942018,NCT00519584,Sponsor,,,,
871639,NCT01928498,Sponsor,,,,
991091,NCT01188889,Sponsor,,,,
804320,NCT02806791,Principal Investigator,Benedetto Bruno,"Program Head, Bone Marrow Transplantation Unit",,Azienda Ospedaliera San Giovanni Battista
822107,NCT02574806,Sponsor,,,,
811925,NCT02707718,Principal Investigator,Hausfater Pierre,Principal investigator,,Hôpital de la Salpétrière
862286,NCT02050607,Principal Investigator,Giovanni Cammarota,Prof,,Catholic University of the Sacred Heart
864118,NCT02026713,Principal Investigator,Polacco Marina,MD,,University of Roma La Sapienza
954793,NCT00703599,,Bill Paspaliaris / Director,,Adistem Ltd,
905824,NCT01479946,Principal Investigator,Jeffrey Yachnin,Study Coordinator,,Uppsala University Hospital
1132367,NCT01285609,Sponsor,,,,
1072924,NCT02922127,Principal Investigator,Carolyn L. Westhoff,"Professor, Department of Obstetrics and Gynecology",,Columbia University
820810,NCT02591706,Principal Investigator,Dr. France LAMBERT,Head of Clinic,,University Hospital of Liege
1074450,NCT02008656,Sponsor,,,,
898834,NCT01571856,Principal Investigator,Giuseppe Grandy,Medical Chief of Nutrition Center,,Centro Pediatrico Albina de Patino
852484,NCT02178631,Principal Investigator,Philipp Klein,Dr. med.,,University of Luebeck
987595,NCT01147705,Principal Investigator,Alan Robertson,Clinical Research Fellow,,University of Dundee
832248,NCT02442518,Sponsor-Investigator,NICOLA FRATELLI,MD,,Università degli Studi di Brescia
990712,NCT01191606,,Fellow,,Seoul National University Bundang Hospital,
982707,NCT01083563,Principal Investigator,Christopher Ritchlin,"M.D., M.P.H., Professor of Medicine Allergy, Immunology & Rheumatology Division",,University of Rochester
905283,NCT01486966,Sponsor,,,,
1039557,NCT02799576,Principal Investigator,Tarek F.Tammam,"Prof. of anesthesia and intensive care,faculty of medicine,Suez Canal University",,Suez Canal University
958673,NCT00755924,,Dr. Carmello Panetta,,Park Nicollet Heart and Vascular Center/Park Nicollet Institute,
1081331,NCT02504424,Sponsor,,,,
876284,NCT01867814,Sponsor,,,,
993415,NCT01219933,Sponsor,,,,
848899,NCT02225379,Sponsor,,,,
1160134,NCT00500890,Sponsor,,,,
1085952,NCT03282890,Principal Investigator,Michael Copenhaver,Professor,,University of Connecticut
965873,NCT00856453,Sponsor,,,,
809832,NCT02734979,Principal Investigator,Stanley Rockson,Allan and Tina Neill Professor of Lymphatic Research and Medicine,,Stanford University
997702,NCT01277159,Sponsor,,,,
806991,NCT02771990,Principal Investigator,Frederick Burgess,Chief of Anesthesia,,Providence VA Medical Center
903689,NCT01508000,Sponsor,,,,
983459,NCT01095627,,Prof. Dr. Norbert Krug,,Fraunhofer-Institute of Toxicology and Experimental Medicine,
907630,NCT01456078,Sponsor,,,,
807452,NCT02765971,Sponsor-Investigator,Ahmed Maged,Assistant professor,,Cairo University
951078,NCT00652704,,Alfred Elvin/Director of Biopharmaceutics,,"Par Pharmaceutical, Inc.",
934668,NCT00390754,,"Mary Nettleman, MD, MS",,Michigan State University,
774250,NCT03198364,Principal Investigator,Colin Depp,Associate Professor,,"University of California, San Diego"
863621,NCT02033200,Sponsor,,,,
847747,NCT02240420,Sponsor,,,,
815477,NCT02661334,Principal Investigator,Stephen Kasteler,Flight Surgeon,,David Grant U.S. Air Force Medical Center
944544,NCT00562549,Sponsor,,,,
890717,NCT01679223,Principal Investigator,"Kayvan Taghipour-Khiabani, M.D.","Tenured Associate Professor, Head of Hand and Microsurgery",,"University of Nevada, Las Vegas"
781390,NCT03105453,Principal Investigator,Christophe Blockeel,"MD, PhD",,Universitair Ziekenhuis Brussel
978876,NCT01035580,Principal Investigator,Lisa Flowers,Principal Investigator,,Emory University
969075,NCT00899158,Sponsor,,,,
1093590,NCT01709539,Sponsor,,,,
990327,NCT01178736,,"Mahesh Shetty, MD/President",,Woman's Cancer Foundation,
1162787,NCT03251170,Principal Investigator,Ahmed Hasanin,Assistant professor,,Cairo University
1130866,NCT03223961,Sponsor,,,,
1033590,NCT02042014,Sponsor,,,,
975757,NCT00991991,Sponsor,,,,
865326,NCT02010931,Sponsor,,,,
869912,NCT01951014,Sponsor,,,,
809018,NCT02745561,Principal Investigator,Shixiu Wu,MD,,Hangzhou Cancer Hospital
1022852,NCT01400308,Sponsor,,,,
871558,NCT01929551,Principal Investigator,Leticia Elizondo-Montemayor,M.D.,,Instituto Tecnologico y de Estudios Superiores de Monterey
961176,NCT00783484,,"Director, Clinical Trial Disclosure Group",,"Pfizer, Inc.",
1104386,NCT03349697,Sponsor,,,,
900028,NCT01556178,Principal Investigator,Rishi Lulla,Principal Investigator,,Ann & Robert H Lurie Children's Hospital of Chicago
1054691,NCT02308397,Sponsor,,,,
998619,NCT01284036,Sponsor,,,,
918651,NCT00033345,Sponsor,,,,
976877,NCT01004835,Principal Investigator,"Eric Topol, MD","Director, Scripps Translational Science Institute",,Scripps Translational Science Institute
924297,NCT00164515,,"James H. Rimmer, PhD; Professor",,"U. of Illinois, Center on Health Promotion Research for Persons with Disabilities",
912562,NCT01390831,,Jian-xiong LIU,,The Second People's Hospital of Chengdu,
